index,title,combine,overview,cast
1867,Good Luck Chuck,Comedy Drama Romancesex aquarium nudity one-night stand brideHe has to break his curse before she breaks his heart.Dane Cook Jessica Alba Dan Fogler Ellia English Lonny RossMark Helfrich,"Cursed since childhood, dentist Charlie Kagan cannot find the right woman. Even worse, he learns that each of his ex-girlfriends finds true love with the man she meets after her relationship with him ends. Hearing of Charlie's reputation as a good-luck charm, women from all over line up for a quick tryst. But when Charlie meets the woman of his dreams, he must find a way to break the curse or risk losing her to the next man she meets.",Dane Cook Jessica Alba Dan Fogler Ellia English Lonny Ross
1868,Cradle 2 the Grave,Action Crime Dramarobbery diamant intelligence bank robber thiefMortal enemies make dangerous friends.Jet Li DMX Kelly Hu Anthony Anderson Tom ArnoldAndrzej Bartkowiak,"Gang leader Tony pulls off a major diamond heist with his crew, but cop-turned-criminal Ling knows who has the loot and responds by kidnapping Tony's daughter and holding her for ransom. Unfortunately, Tony's lost the diamonds as well. As he frantically searches for his daughter and the jewels, Tony pairs with a high-kicking government agent who once worked with Ling and seeks revenge on him.",Jet Li DMX Kelly Hu Anthony Anderson Tom Arnold
1869,The Hours,Dramalondon england suicide gay poetry aidsThe time to hide is over. The time to regret is gone. The time to live is now.Nicole Kidman Julianne Moore Meryl Streep Stephen Dillane Miranda RichardsonStephen Daldry,"""The Hours"" is the story of three women searching for more potent, meaningful lives. Each is alive at a different time and place, all are linked by their yearnings and their fears. Their stories intertwine, and finally come together in a surprising, transcendent moment of shared recognition.",Nicole Kidman Julianne Moore Meryl Streep Stephen Dillane Miranda Richardson
1870,She's the Man,"Comedy Drama Family Romanceroommate twin sister sport boarding school twin brotherIf you wanna chase your dream, sometimes you gotta break the rules.Amanda Bynes Channing Tatum Laura Ramsey Vinnie Jones David CrossAndy Fickman","Viola Johnson is in a real jam. Complications threaten her scheme to pose as her twin brother, Sebastian, and take his place at a new boarding school. She falls in love with her handsome roommate, Duke, who loves beautiful Olivia, who has fallen for Sebastian! As if that were not enough, Viola's twin returns from London ahead of schedule but has no idea that his sister has already replaced him on campus.",Amanda Bynes Channing Tatum Laura Ramsey Vinnie Jones David Cross
1871,Mr. Bean's Holiday,Family Comedyholiday france film director chaos clumsy fellowDisaster has a passport.Rowan Atkinson Max Baldry Emma de Caunes Willem Dafoe Karel RodenSteve Bendelack,"Mr. Bean wins a trip to Cannes where he unwittingly separates a young boy from his father and must help the two reunite. On the way he discovers France, bicycling and true love, among other things.",Rowan Atkinson Max Baldry Emma de Caunes Willem Dafoe Karel Roden
1872,Anacondas: The Hunt for the Blood Orchid,Adventure Action Horror Science Fiction Thrillersnake expedition traitor research orchidJohnny Messner KaDee Strickland Matthew Marsden Nicholas Gonzalez Eugene ByrdDwight H. Little,"The blood orchid - A rare flower that holds the secret of eternal life and a fortune to the pharmaceutical company that finds it. Led by a two-fisted soldier of fortune, a scientific expedition is sent deep into the jungles of Borneo to locate and bring back samples of the legendary plant. Battling their way upriver, the explorers brave poisonous insects, ferocious crocodiles and savage headhunters, unaware they're being stalked by an even greater danger: a nest of giant anacondas, voracious, fifty-foot-long flesh-eaters who'll stop at nothing to protect their breeding ground, the blood orchid's home.",Johnny Messner KaDee Strickland Matthew Marsden Nicholas Gonzalez Eugene Byrd
1873,Blood Ties,Thriller Crime DramaCrime runs in the family.Clive Owen Billy Crudup Marion Cotillard Mila Kunis Zoe SaldanaGuillaume Canet,"Two brothers, on either side of the law, face off over organized crime in Brooklyn during the 1970s.",Clive Owen Billy Crudup Marion Cotillard Mila Kunis Zoe Saldana
1874,August Rush,Dramadate loss of son love at first sight child labour guitarAn incredible journey moving at the speed of soundFreddie Highmore Keri Russell Jonathan Rhys Meyers Terrence Howard Robin WilliamsKirsten Sheridan,"A drama with fairy tale elements, where an orphaned musical prodigy uses his gift as a clue to finding his birth parents.",Freddie Highmore Keri Russell Jonathan Rhys Meyers Terrence Howard Robin Williams
1875,Elizabeth,Drama Historyduke historical figure treason catholic protestantDeclared illegitimate aged 3. Tried for treason aged 21. Crowned Queen aged 25.Cate Blanchett Geoffrey Rush Christopher Eccleston Joseph Fiennes Richard AttenboroughShekhar Kapur,"The story of the ascension to the throne and the early reign of Queen Elizabeth the First, the endless attempts by her council to marry her off, the Catholic hatred of her and her romance with Lord Robert Dudley.",Cate Blanchett Geoffrey Rush Christopher Eccleston Joseph Fiennes Richard Attenborough
1876,Bride of Chucky,Horror Comedyroute 66 puppet evil doll killer doll killer toysChucky Gets Lucky.Ed Gale Jennifer Tilly Brad Dourif Katherine Heigl Nick StabileRonny Yu,"Chucky hooks up with another murderous doll, the bridal gown-clad Tiffany, for a Route 66 murder spree with their unwitting hosts.",Ed Gale Jennifer Tilly Brad Dourif Katherine Heigl Nick Stabile
1877,Tora! Tora! Tora!,History Action Drama Adventure Warjapan world war ii pearl harbor soldier imperial japanThe incredible attack on Pearl Harbor.Martin Balsam S\u00f4 Yamamura Joseph Cotten Tatsuya Mihashi E.G. MarshallRichard Fleischer,"In the summer of 1941, the United States and Japan seem on the brink of war after constant embargos and failed diplomacy come to no end. ""Tora! Tora! Tora!"", named after the code words use by the lead Japanese pilot to indicate they had surprised the Americans, covers the days leading up to the attack on Pearl Harbor, which plunged America into the Second World War.",Martin Balsam S\u00f4 Yamamura Joseph Cotten Tatsuya Mihashi E.G. Marshall
1878,Spice World,Adventure Fantasy Drama Comedy Musicpop pop culture pop starYou say you want a revolution?Victoria Beckham Melanie Brown Emma Bunton Melanie Chisholm Geri HalliwellBob Spiers,"The film follows the Spice Girls and their entourage (mostly fictional characters) - manager Clifford, his assistant Deborah, filmmaker Piers (who is trying to shoot a documentary on ""the real Spice Girls"") and others in their everyday life.",Victoria Beckham Melanie Brown Emma Bunton Melanie Chisholm Geri Halliwell
1879,The Sitter,Comedybabysitter duringcreditsstingerWorst. Babysitter. Ever.Sam Rockwell Jonah Hill Max Records Ari Graynor J.B. SmooveDavid Gordon Green,"Noah, is not your typical entertain-the-kids-no-matter-how-boring-it-is kind of sitter. He's reluctant to take a sitting gig; he'd rather, well, be doing anything else, especially if it involves slacking. When Noah is watching the neighbor's kid he gets a booty call from his girlfriend in the city. To hook up with her, Noah takes to the streets, but his urban adventure spins out of control as he finds himself on the run from a maniacal drug lord.",Sam Rockwell Jonah Hill Max Records Ari Graynor J.B. Smoove
1880,Dance Flick,Action Comedy Musicrap music hip-hopShoshana Bush Damon Wayans Jr. Essence Atkins Chris Elliott David Alan GrierDamien Dante Wayans,"Street dancer, Thomas Uncles is from the wrong side of the tracks, but his bond with the beautiful Megan White might help the duo realize their dreams as they enter in the mother of all dance battles.",Shoshana Bush Damon Wayans Jr. Essence Atkins Chris Elliott David Alan Grier
1881,The Shawshank Redemption,Drama Crimeprison corruption police brutality prison cell delinquentFear can hold you prisoner. Hope can set you free.Tim Robbins Morgan Freeman Bob Gunton Clancy Brown Mark RolstonFrank Darabont,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",Tim Robbins Morgan Freeman Bob Gunton Clancy Brown Mark Rolston
1882,Crocodile Dundee in Los Angeles,Adventure Comedycrocodile traffic jam los angeles stolen paintingHe heard there was wildlife in L.A. He didn't know how wild.Paul Hogan Linda Kozlowski Jere Burns Jonathan Banks Alec WilsonSimon Wincer,"After settling in the tiny Australian town of Walkabout Creek with his significant other and his young son, Mick ""Crocodile"" Dundee is thrown for a loop when a prestigious Los Angeles newspaper offers his honey a job. The family migrates back to the United States, and Croc and son soon find themselves learning some lessons about American life -- many of them inadvertent",Paul Hogan Linda Kozlowski Jere Burns Jonathan Banks Alec Wilson
1883,Kingpin,Comedysport handicap sexual favor star spangled banner bowling teamYou wouldn't want to meet these pinheads in an alley.Woody Harrelson Randy Quaid Vanessa Angel Bill Murray Chris ElliottBobby Farrelly,"After bowler Roy Munson swindles the wrong crowd and is left with a hook for a hand, he settles into impoverished obscurity. That is, until he uncovers the next big thing: an Amish kid named Ishmael. So, the corrupt and the hopelessly naïve hit the circuit intent on settling an old score with Big Ern.",Woody Harrelson Randy Quaid Vanessa Angel Bill Murray Chris Elliott
1884,The Gambler,Thriller Crime Dramagambling gun professor beating gamblerThe only way out is all inMark Wahlberg John Goodman Brie Larson Michael Kenneth Williams Jessica LangeRupert Wyatt,"Literature professor Jim Bennett leads a secret life as a high-stakes gambler. Always a risk-taker, Bennett bets it all when he borrows from a gangster and offers his own life as collateral. Staying one step ahead, he pits his creditor against the operator of an illicit gambling ring while garnering the attention of Frank, a paternalistic loan shark. As his relationship with a student deepens, Bennett must risk everything for a second chance.",Mark Wahlberg John Goodman Brie Larson Michael Kenneth Williams Jessica Lange
1885,August: Osage County,Comedy Dramasuicide drug addiction funeral dysfunctional family based on playMisery loves familyMeryl Streep Julia Roberts Chris Cooper Ewan McGregor Margo MartindaleJohn Wells,"A look at the lives of the strong-willed women of the Weston family, whose paths have diverged until a family crisis brings them back to the Midwest house they grew up in, and to the dysfunctional woman who raised them.",Meryl Streep Julia Roberts Chris Cooper Ewan McGregor Margo Martindale
